team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
987,HIGHROLLERS,3,5.77,-0.75,10.97,10.74,0.26,0.01,16.27,0.27,-1,-1,5.42,32.78,-0.3,58.95,19.41,0.33,0.33,0.22,0.27,35.08,2.85,-1,-1,103.04,0.26,0.52,0.19,48.54,0.75,-1,-1,0.31,0.27,0.2,-0.05,-0.11,0.02,-1.83,0.18,51.36,1.15,3.13,-1,-1,30.15,135.99,168.91,0.43,32.16,1722,,,,,
1002,The CircuitRunners,3,4.91,0.78,-0.4,-0.18,0.27,0,16.11,0.27,-1,-1,5.37,20.84,-0.04,0,-0.01,0.33,0.33,0.35,0.05,31.83,2.11,-1,-1,79.01,0.35,0.14,0.45,47.19,0.67,-1,-1,0,0.05,-0.06,0.15,0.06,0.07,1.28,2.46,47.95,1.06,2.38,-1,-1,-0.19,102.31,107.68,0.43,35.03,1553,,,,,
1011,CRUSH,3,4.45,0.42,-1.55,-1.46,0.23,0,13.6,0.23,-1,-1,4.53,16.58,0.05,5.76,1.98,0.33,0.28,0.59,0,39.16,2.77,-1,-1,80.29,0.21,0.36,0.22,39.15,0.41,-1,-1,0.03,0,0.2,0.33,-0.11,0,-1.66,1.73,52.76,1.21,2.99,-1,-1,0.52,98.61,98.87,0.25,21.73,1588,,,,,
1156,Under Control,3,4.88,-0.7,3.07,2.87,0.31,0,18.82,0.31,-1,-1,6.27,26.57,-0.73,0.84,0.05,0.33,0.38,0.32,0.07,31.45,2.13,-1,-1,81.37,0.39,0.2,0.41,49.87,0.83,-1,-1,0,0.07,0.79,-0.03,0.3,0.14,11.37,3.44,50.28,1.1,2.45,-1,-1,2.92,111.39,118.07,0.37,28.44,1490,,,,,
1255,Blarglefish,3,5.81,0,0.43,0.43,0.47,0,27.98,0.47,-1,-1,9.33,34.22,0.01,-1.46,-0.45,0.33,0.33,0.46,0.06,28.66,2.38,-1,-1,87.51,0.26,0.56,0.37,59.3,0.78,-1,-1,0,0.06,-0.15,0.72,0.17,-0.09,3.62,1.3,56.64,1.18,2.85,-1,-1,-0.02,123.03,128.85,0.65,89.78,1650,,,,,
1266,The Devil Duckies,3,5.26,-0.89,-3.29,-3.56,0.39,-0.02,22.23,0.37,-1,-1,7.41,23.94,-0.24,2.85,0.95,0.33,0.33,0.31,0.01,24.66,1.6,-1,-1,74.03,0.44,0.06,0.47,48.43,0.78,-1,-1,-0.02,0.01,-0.12,0.02,0.4,0.29,9.44,7.38,46.89,0.99,1.97,-1,-1,-2.61,105.35,105.85,-0.04,-7.6,1432,,,,,
1287,Aluminum Assault,3,5.14,0.01,-0.11,-0.1,0.27,0,15.98,0.27,-1,-1,5.33,21.01,-0.4,0.97,0.27,0.33,0.36,0.22,-0.03,24.31,1.14,-1,-1,71.62,0.41,0.27,0.26,47.04,1,-1,-1,0,-0.03,0.13,0.33,0.03,0.16,1.44,5.57,40.29,0.87,1.41,-1,-1,0.17,98.21,95.38,0.61,24.38,1542,,,,,
1319,Flash,3,2.8,0.66,-0.69,-0.48,0.08,0,4.78,0.08,-1,-1,1.59,7.1,11.24,-0.31,1.17,0.33,0.32,0.25,0.05,35.05,1.88,-1,-1,89.07,0.4,0.4,0.26,52.85,0.88,-1,-1,-0.07,0.05,0.1,0.24,-0.18,0.34,-3.87,9.62,39.83,0.96,1.96,-1,-1,0.7,105.79,109.56,0.33,35.26,1520,,,,,
1323,MadTown Robotics,3,5.19,0.1,8.13,8.14,0.2,0,11.77,0.2,-1,-1,3.92,25.1,-0.39,23.14,7.65,0.33,0.36,0.19,0,27.57,1.29,-1,-1,72.28,0.32,0.13,0.29,37.07,0.93,-1,-1,0.08,0,0.3,0.11,-0.02,-0.29,0.88,-6.63,39.34,0.89,1.49,-1,-1,15.79,90.75,92.27,0.35,19.17,1564,,,,,
1339,AngelBotics,3,4.86,-0.07,0.19,0.18,0.41,0,24.69,0.41,-1,-1,8.23,29.73,0.06,-1.16,-0.41,0.33,0.36,0.39,0,27.09,1.9,-1,-1,76.73,0.13,0.58,0.29,50.05,0.88,-1,-1,-0.02,0,0.12,-0.06,0.29,0.05,7.75,0.87,51.78,1.09,2.31,-1,-1,-0.23,107.34,107.07,0.13,3.39,1488,,,,,
1410,The Kraken,3,2.74,0.1,-1.86,-1.84,0.05,0,2.76,0.05,-1,-1,0.92,3.66,0,-4.24,-1.47,0.33,0.27,0.23,-0.01,31.04,1.34,-1,-1,55.69,0.19,0.32,0.01,26.12,0.54,-1,-1,-0.07,-0.01,0.28,-0.03,-0.2,0.31,-3.67,7.5,33.8,0.82,1.38,-1,-1,-3.31,66.84,64.25,0.16,6.47,1491,,,,,
1477,Texas Torque,3,2.98,0,0.72,0.72,0.32,0,19.06,0.32,-1,-1,6.35,22.77,-0.01,0,0.06,0.33,0.33,0.27,0.2,33.07,2.67,-1,-1,78.48,0.42,0.23,0.26,45.35,0.88,-1,-1,0,0.2,-0.12,0.03,-0.11,0.1,-3.38,2.74,52.13,1.14,2.99,-1,-1,0.78,103.99,124.36,0.52,31.36,1623,,,,,
1523,MARS (Mega Awesome Robotic Systems),3,5.82,0.01,-0.51,-0.5,0.07,0,3.96,0.07,-1,-1,1.32,9.28,-1.8,-2.18,-0.69,0.33,0.39,0.35,0,40.34,2.11,-1,-1,73.88,0.19,0.02,0.47,34.22,0.91,-1,-1,0,0,0.03,0.16,-0.4,-0.13,-9.77,-2.47,44.31,1.07,2.18,-1,-1,-1.19,80.69,80.38,0.03,-13.2,1499,,,,,
1533,Triple Strange,3,5.31,0.07,2.65,2.65,0.46,0,27.67,0.46,-1,-1,9.22,35.63,0.09,2.93,0.99,0.33,0.33,0.41,-0.01,24.17,1.78,-1,-1,73.39,0.35,0.3,0.31,48.23,0.76,-1,-1,0.01,-0.01,-0.02,0.28,0.07,-0.12,1.74,-1.63,51.85,1.07,2.24,-1,-1,3.63,107.39,106.31,0.47,9.59,1549,,,,,
1538,The Holy Cows,3,5.6,-0.07,6.6,6.58,0.41,0.01,25.67,0.43,-1,-1,8.56,37.85,0.29,4.21,1.07,0.33,0.33,0.54,0.12,35.88,3.11,-1,-1,87.66,0.43,0.29,0.29,50.72,0.81,-1,-1,0.01,0.12,0.17,-0.11,0.03,0.23,1.6,5.21,61.55,1.32,3.54,-1,-1,7.65,130.72,143.01,0.37,28.34,1666,,,,,
1574,MisCar,3,5.15,0.18,18.6,18.6,0.51,0,30.74,0.51,-1,-1,10.25,54.48,-0.02,58.02,19.18,0.33,0.33,0.33,-0.04,18,1.26,-1,-1,98.9,0.34,0.36,0.53,61.72,0.94,-1,-1,0.84,-0.04,0.05,0.24,0.08,-0.03,2.19,0.49,48.73,0.96,1.78,-1,-1,37.77,153.86,167.1,0.38,57.27,1717,,,,,
1577,SteamPunk,3,4.5,-0.04,0.6,0.6,0.11,0,6.32,0.11,-1,-1,2.11,11.42,0,4.87,1.67,0.33,0.33,0.41,0.03,40.08,2.39,-1,-1,69.13,0.29,-0.11,0.37,27.38,0.76,-1,-1,0.02,0.03,-0.08,-0.08,0.05,0.32,0.9,7.52,46.4,1.11,2.49,-1,-1,2.27,88.07,91.61,-0.09,-30.22,1486,,,,,
1619,Up-A-Creek Robotics,3,5.12,-0.58,22.57,22.39,0.43,0,25.87,0.43,-1,-1,8.62,53.38,-3.18,50.88,16.48,0.33,0.36,0.1,-0.01,13.97,0.63,-1,-1,91.94,0.31,0.43,0.49,61.48,0.71,-1,-1,0.81,-0.01,0.06,0.28,-0.07,0.19,-1.42,6.05,39.84,0.78,1.06,-1,-1,38.87,151.37,166.25,0.64,109.57,1737,,,,,
