teamNumber,matchNumber,avgHopperShotTime,avgKeyShotTime,didBecomeIncapacitated,didLiftoff,didStartDisabled,disfunctionalPercentage,drivingAbility,liftoffAbility,liftoffTime,lowShotTimesForBoilerAuto,lowShotTimesForBoilerTele,numGearsEjectedTele,numGearsFumbledTele,numGearsPlacedAuto,numGearsPlacedTele,numGroundGearIntakesTele,numHighShotsAuto,numHighShotsTele,numHoppersUsedAuto,numHoppersUsedTele,numHumanGearIntakesTele,numLowShotsAuto,numLowShotsTele,numRPs,rankAgility,rankBallControl,rankDefense,rankGearControl,rankSpeed,scoutName,superNotes,wasDisfunctional
9012,2,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,1,3,"['Astha', 'Caroline', 'Michael', 'Kenny', 'Noah', 'Zoravar']",didn't climb,False
3303,10,5.8,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,0,4,3.5,0,0,0,0,0,0,0,0,1,0,0,2,1,"['Lasthenia', 'Teo']","climbing: almost made it up, they got a late start
",False
9703,13,,,False,False,False,,,,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",1,0,,,1,,,0,1,0,,,,,,,,,['Anoushka'],,
3303,16,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,"['aidan', 'Zoravar']",ran out of time to climb,False
5940,4,,,False,True,False,0.0,,50,2.9565,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,"['Zoravar', 'Louise']","climbed
stopped working in the middle
",False
5940,9,,,False,True,False,0.0,,50,2.557,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,0,1,0,0,0,0,0,0,0,2,3,0,3,1,1,"['Noemi', 'Kenny', 'Zoravar']",,False
9971,10,,10.5,False,True,False,0.0,,50,3.354,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,0,0.0,0.38600451467268615,0,1,2,0.0,0.0,3,1,2,0,1,1,['Calvin'],,False
1836,1,,,True,False,False,0.5,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,"['Nick', 'Michael', 'Noah']","stuck on ball
",True
971,20,8.333333333333334,,False,True,False,0.0,,50,5.509,"[{'position': 'Other  ', 'numShots': 0, 'time': 0}]","[{'position': 'Other  ', 'numShots': 0, 'time': 0}, {'position': 'Other  ', 'numShots': 0, 'time': 0}]",0,0,0,3,0,21.362637362637365,28.21978021978022,0,1,2,0.0,0.0,3,3,3,0,2,2,"['Kate', 'Noemi', 'saif']",climbed,False
9159,57,,4.666666666666667,True,False,False,0.5,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Nick', 'Noemi', 'Noah']","moved a little in the beginning, incapacitated the rest of the match
didn't climb",True
