MinnesotaNorthStar,mnmi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
3633,Catalyst 3633,3,5.23,0.00,0.08,0.08,0.04,0.00,2.32,0.04,-1.00,-1.00,0.77,7.63,0.53,-0.23,0.02,0.33,0.10,0.12,-0.00,20.39,0.63,-1.00,-1.00,31.25,0.18,0.18,-0.14,10.84,0.22,-1.00,-1.00,0.00,-0.00,0.20,-0.02,0.21,0.11,6.18,2.74,22.71,0.55,0.67,-1.00,-1.00,0.10,41.62,41.14,0.05,-28.08,1376,,,,,
3691,RoboRaiders,2,2.27,-0.32,-0.73,-0.73,-0.10,0.00,-5.87,-0.10,-1.00,-1.00,-1.96,-2.26,-1.47,-3.16,-1.04,0.30,0.14,-0.10,-0.02,13.14,-0.02,-1.00,-1.00,19.40,-0.08,-0.08,-0.08,-0.68,-1.00,-1.00,-1.00,-0.01,-0.02,0.33,-0.16,0.38,-0.19,9.96,-4.51,17.61,0.43,0.04,-1.00,-1.00,-1.32,27.80,27.56,-0.04,-36.47,1431,,,,,
3848,Bots in Shining Armour,2,4.64,0.20,0.58,0.59,0.17,0.00,10.48,0.17,-1.00,-1.00,3.49,14.73,1.19,3.08,1.01,0.35,0.36,0.17,0.01,29.95,1.22,-1.00,-1.00,54.00,0.22,0.22,0.21,26.84,-1.00,-1.00,-1.00,0.01,0.01,-0.03,0.20,-0.04,0.23,-0.72,6.16,35.50,0.83,1.32,-1.00,-1.00,1.40,67.68,67.96,0.27,17.35,1469,,,,,
3883,Data Bits,3,3.93,0.00,1.54,1.54,-0.07,0.00,-4.38,-0.07,-1.00,-1.00,-1.46,1.09,-0.65,-0.87,-0.45,0.33,0.23,0.53,0.02,47.63,2.77,-1.00,-1.00,53.78,0.07,-0.23,0.30,6.59,0.64,-1.00,-1.00,0.00,0.02,-0.01,0.23,-0.15,0.00,-3.78,1.22,43.25,1.12,2.70,-1.00,-1.00,1.09,56.09,57.98,0.17,-4.99,1523,,,,,
3926,MPArors,2,4.13,0.09,0.30,0.30,0.12,0.00,6.92,0.12,-1.00,-1.00,2.31,11.03,0.61,1.72,0.57,0.34,0.31,0.11,0.00,26.29,0.95,-1.00,-1.00,46.47,0.15,0.15,0.15,20.85,-1.00,-1.00,-1.00,0.00,0.00,0.05,0.12,0.05,0.14,1.61,3.84,31.61,0.74,1.04,-1.00,-1.00,0.80,58.99,59.16,0.20,5.63,1428,,,,,
3928,Team Neutrino,3,4.71,-0.04,1.05,1.05,0.28,0.00,16.98,0.28,-1.00,-1.00,5.66,22.74,-0.62,0.50,0.01,0.33,0.41,0.32,0.05,32.87,2.07,-1.00,-1.00,59.28,0.21,-0.09,0.40,26.40,0.36,-1.00,-1.00,0.00,0.05,-0.11,0.21,0.16,-0.21,3.42,-4.26,49.85,1.10,2.35,-1.00,-1.00,1.06,77.75,82.78,0.30,26.89,1486,,,,,
4215,Tritons,2,4.69,0.21,0.61,0.62,0.18,0.00,10.80,0.18,-1.00,-1.00,3.60,15.06,1.25,3.20,1.05,0.35,0.36,0.17,0.01,30.28,1.24,-1.00,-1.00,54.68,0.22,0.22,0.22,27.38,-1.00,-1.00,-1.00,0.01,0.01,-0.04,0.21,-0.05,0.24,-0.93,6.37,35.86,0.83,1.34,-1.00,-1.00,1.45,68.46,68.76,0.27,18.41,1462,,,,,
4225,RoboCats,2,3.03,-0.16,-0.31,-0.31,-0.01,0.00,-0.66,-0.01,-1.00,-1.00,-0.22,3.16,-0.62,-1.17,-0.38,0.31,0.21,-0.01,-0.01,18.50,0.38,-1.00,-1.00,30.44,0.01,0.01,0.01,8.10,-1.00,-1.00,-1.00,-0.01,-0.01,0.21,-0.04,0.24,-0.06,6.55,-1.11,23.32,0.56,0.45,-1.00,-1.00,-0.45,40.52,40.45,0.06,-19.30,1379,,,,,
4239,WARPSPEED,3,4.46,0.00,0.10,0.10,0.13,0.00,7.94,0.13,-1.00,-1.00,2.65,12.50,-1.06,0.46,0.00,0.33,0.26,0.05,0.03,21.62,0.75,-1.00,-1.00,23.66,0.23,-0.09,-0.10,2.04,0.38,-1.00,-1.00,0.00,0.03,0.08,-0.01,-0.34,0.27,-8.09,6.61,29.56,0.67,0.88,-1.00,-1.00,0.11,42.78,45.79,0.26,-2.25,1441,,,,,
4277,Thingamajiggers,2,3.94,0.05,0.19,0.20,0.09,0.00,5.61,0.09,-1.00,-1.00,1.87,9.68,0.40,1.22,0.40,0.33,0.29,0.09,0.00,24.95,0.85,-1.00,-1.00,43.71,0.13,0.13,0.12,18.65,-1.00,-1.00,-1.00,0.00,0.00,0.08,0.09,0.08,0.10,2.46,2.99,30.18,0.71,0.94,-1.00,-1.00,0.59,55.82,55.95,0.17,1.34,1435,,,,,
