,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
6710,Southside Robotics,Houston,PCHGainesville,1,0.02,0.00,-0.07,-0.07,-0.05,0.00,-2.96,-0.05,-1.00,-1.00,-0.99,-3.01,-0.31,0.09,-0.08,0.33,0.17,0.07,0.00,24.84,0.67,-1.00,-1.00,39.08,-0.11,0.29,0.11,14.31,-1.00,-1.00,-1.00,0.00,0.00,0.06,0.09,-0.09,0.14,-1.98,3.96,21.88,0.57,0.62,-1.00,-1.00,-0.14,40.02,40.02,0.09,-21.95,1344,,,,,
1648,G3 Robotics,Houston,PCHGainesville,1,3.07,0.00,-0.03,-0.03,0.06,0.00,3.77,0.06,-1.00,-1.00,1.26,6.81,0.21,-0.47,-0.13,0.33,0.24,0.02,0.00,20.96,0.48,-1.00,-1.00,34.73,-0.20,0.34,0.13,13.89,-1.00,-1.00,-1.00,0.00,0.00,-0.10,0.17,-0.02,0.13,-1.07,4.04,24.73,0.59,0.54,-1.00,-1.00,-0.16,45.58,45.58,0.29,9.95,1532,,,,,
3318,RoboDragons,Houston,PCHGainesville,1,5.93,0.00,-0.07,-0.07,-0.17,0.00,-10.22,-0.17,-1.00,-1.00,-3.41,-4.36,-0.77,-0.75,-0.35,0.23,0.43,-0.02,0.00,32.87,0.87,-1.00,-1.00,45.71,0.13,0.08,0.05,13.19,-1.00,-1.00,-1.00,0.00,0.00,0.06,0.39,-0.17,0.22,-3.99,7.41,22.66,0.65,0.70,-1.00,-1.00,-0.43,48.75,48.75,0.17,-18.72,1365,,,,,
1795,Team Clutch,Houston,PCHGainesville,1,3.71,0.00,-0.05,-0.05,0.01,0.00,0.76,0.01,-1.00,-1.00,0.25,4.42,-0.09,0.18,0.04,0.34,0.35,0.10,0.00,31.44,1.11,-1.00,-1.00,44.18,-0.09,0.20,0.14,12.70,-1.00,-1.00,-1.00,0.00,0.00,-0.11,0.05,-0.02,-0.16,-1.14,-3.73,32.20,0.80,1.13,-1.00,-1.00,-0.01,44.86,44.86,0.18,-2.61,1468,,,,,
5401,Fightin' Robotic Owls,St. Louis,MARHatboroHorsham,1,4.02,0.00,0.13,0.13,0.27,0.00,16.43,0.27,-1.00,-1.00,5.48,20.58,0.13,12.17,3.78,0.33,0.33,0.07,0.00,18.26,0.65,-1.00,-1.00,34.57,0.14,-0.01,0.12,12.53,-1.00,-1.00,-1.00,0.00,0.00,0.04,0.20,0.22,-0.26,5.80,-5.41,34.68,0.73,0.93,-1.00,-1.00,3.91,49.74,49.74,0.22,-15.10,1502,,,,,
832,Oscar,Houston,PCHGainesville,1,-1.65,0.00,0.04,0.04,-0.09,0.00,-5.14,-0.09,-1.00,-1.00,-1.71,-6.76,-0.03,0.25,0.09,0.34,0.15,-0.20,0.00,14.92,-0.40,-1.00,-1.00,26.29,0.12,0.02,0.08,11.27,-1.00,-1.00,-1.00,0.00,0.00,-0.06,-0.11,0.25,-0.18,5.84,-5.11,9.78,0.29,-0.49,-1.00,-1.00,0.13,14.42,14.42,-0.19,-29.55,1473,,,,,
5457,Falcobots,St. Louis,MARHatboroHorsham,1,5.18,0.00,-0.00,-0.00,-0.01,0.00,-0.36,-0.01,-1.00,-1.00,-0.12,4.82,0.09,2.17,0.72,0.33,0.40,0.04,0.00,31.20,0.96,-1.00,-1.00,43.19,-0.16,-0.00,0.38,11.27,-1.00,-1.00,-1.00,0.00,0.00,0.13,-0.11,-0.12,-0.09,-2.34,-2.80,30.84,0.77,0.95,-1.00,-1.00,0.71,45.21,45.21,0.25,-10.79,1447,,,,,
1143,Cruzin' Comets,St. Louis,MARHatboroHorsham,1,5.38,0.00,0.03,0.03,0.07,0.00,3.92,0.07,-1.00,-1.00,1.31,9.33,0.53,0.50,0.26,0.33,0.41,0.24,0.00,36.78,1.71,-1.00,-1.00,48.12,0.18,0.07,-0.03,11.09,-1.00,-1.00,-1.00,0.00,0.00,-0.05,0.18,-0.14,0.34,-3.81,9.31,40.69,0.98,1.78,-1.00,-1.00,0.28,66.76,66.76,0.10,17.60,1556,,,,,
2590,Nemesis,St. Louis,MARHatboroHorsham,1,4.45,0.00,0.37,0.37,-0.01,0.00,-0.42,-0.01,-1.00,-1.00,-0.14,4.40,0.12,-1.43,-0.53,0.33,0.33,0.15,0.00,32.69,1.24,-1.00,-1.00,42.97,0.10,0.09,0.02,10.81,-1.00,-1.00,-1.00,0.00,0.00,-0.15,-0.07,-0.13,-0.17,-4.12,-4.56,32.27,0.81,1.23,-1.00,-1.00,-0.16,42.81,42.81,0.24,5.68,1625,,,,,
6716,Circuit Br8kers,Houston,PCHGainesville,1,4.37,0.00,-0.01,-0.01,-0.01,0.00,-0.41,-0.01,-1.00,-1.00,-0.14,3.95,-0.05,-0.91,-0.29,0.34,0.16,0.05,0.00,22.25,0.53,-1.00,-1.00,32.53,0.37,-0.19,0.03,10.57,-1.00,-1.00,-1.00,0.00,0.00,-0.15,0.02,-0.15,0.07,-4.40,1.92,21.84,0.55,0.52,-1.00,-1.00,-0.30,38.40,38.40,0.23,4.61,1367,,,,,
