MARChampionship,mrcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1807,Redbird Robotics,3,4.01,0.40,-0.20,-0.06,-0.08,0.00,-4.58,-0.08,-1.00,-1.00,-1.53,-0.63,-0.39,2.66,0.83,0.33,0.37,0.33,0.07,47.14,2.54,-1.00,-1.00,93.90,0.27,0.32,0.33,45.93,0.86,-1.00,-1.00,0.00,0.07,0.03,-0.08,0.03,0.28,0.84,6.65,42.55,1.10,2.46,-1.00,-1.00,0.78,99.92,106.54,0.24,55.48,1603,,,,,
1811,FRESH,3,4.91,0.00,0.78,0.78,0.12,0.00,7.16,0.12,-1.00,-1.00,2.39,12.85,0.07,3.05,1.02,0.33,0.37,0.27,-0.00,33.82,1.65,-1.00,-1.00,72.39,0.25,0.09,0.42,37.56,0.56,-1.00,-1.00,0.04,-0.00,0.11,0.16,0.06,0.02,1.96,1.20,40.98,0.96,1.77,-1.00,-1.00,1.80,86.44,86.83,0.36,13.75,1419,,,,,
1923,The MidKnight Inventors,3,5.25,-0.06,0.09,0.03,0.57,0.00,34.13,0.57,-1.00,-1.00,11.38,39.41,-0.02,-0.93,-0.36,0.33,0.33,0.29,0.01,15.77,1.32,-1.00,-1.00,54.41,0.15,0.30,0.33,39.01,0.80,-1.00,-1.00,-0.01,0.01,0.19,-0.06,0.21,0.16,6.25,3.75,49.90,0.96,1.88,-1.00,-1.00,-0.33,97.57,98.66,-0.09,-0.56,1579,,,,,
2168,Aluminum Falcons,3,4.07,0.09,-0.23,-0.21,0.46,0.00,27.58,0.46,-1.00,-1.00,9.19,31.44,0.29,-6.02,-1.97,0.33,0.34,0.49,0.40,44.34,4.59,-1.00,-1.00,97.24,0.27,0.33,0.50,54.87,0.89,-1.00,-1.00,-0.05,0.40,-0.10,0.10,-0.13,0.39,-3.67,10.27,71.92,1.57,5.05,-1.00,-1.00,-2.17,138.95,178.29,0.38,63.56,1686,,,,,
2458,Team Chaos,3,4.57,-0.19,0.38,0.34,0.10,0.00,5.74,0.10,-1.00,-1.00,1.91,10.65,0.15,4.95,1.70,0.33,0.34,0.41,-0.04,38.15,2.01,-1.00,-1.00,84.07,0.41,0.09,0.38,44.22,0.72,-1.00,-1.00,0.07,-0.04,0.02,-0.03,0.30,0.09,7.57,1.98,43.89,1.05,2.11,-1.00,-1.00,2.03,96.70,94.26,0.40,7.58,1485,,,,,
2539,Krypton Cougars,3,3.81,0.00,-0.80,-0.80,0.07,0.00,4.50,0.07,-1.00,-1.00,1.50,7.51,-0.07,-2.41,-0.89,0.33,0.39,0.16,-0.00,32.29,1.33,-1.00,-1.00,86.47,0.45,0.23,0.42,55.07,0.88,-1.00,-1.00,-0.03,-0.00,-0.07,-0.11,0.07,0.41,1.28,9.70,36.79,0.88,1.41,-1.00,-1.00,-1.69,103.68,102.82,0.21,4.97,1448,,,,,
2590,Nemesis,3,4.79,0.04,0.09,0.11,0.32,0.00,19.48,0.32,-1.00,-1.00,6.49,24.38,1.62,9.83,3.20,0.33,0.40,0.71,0.00,44.55,3.25,-1.00,-1.00,60.84,-0.29,0.36,0.19,13.09,0.80,-1.00,-1.00,0.00,0.00,0.01,0.23,-0.20,-0.16,-4.85,-2.94,64.03,1.44,3.58,-1.00,-1.00,3.31,82.28,82.37,0.16,32.81,1583,,,,,
2600,Team Falcon,3,4.67,0.02,-0.48,-0.50,0.10,0.00,5.91,0.10,-1.00,-1.00,1.97,10.09,2.21,-2.14,-0.35,0.33,0.35,0.28,-0.02,34.03,1.64,-1.00,-1.00,85.62,0.53,0.38,0.13,51.94,0.85,-1.00,-1.00,0.00,-0.02,-0.05,0.29,0.23,0.40,5.47,11.52,39.94,0.95,1.74,-1.00,-1.00,-0.85,107.22,105.71,0.18,21.09,1476,,,,,
2607,The Fighting RoboVikings,3,4.70,-0.08,0.31,0.28,0.21,0.00,12.80,0.21,-1.00,-1.00,4.27,17.78,-0.17,-2.86,-0.90,0.33,0.33,0.23,0.07,30.10,1.80,-1.00,-1.00,49.24,0.24,0.04,0.12,20.03,0.67,-1.00,-1.00,0.00,0.07,-0.12,0.06,-0.09,-0.06,-2.80,-1.27,42.90,0.97,2.02,-1.00,-1.00,-0.61,65.76,72.98,-0.02,-24.12,1485,,,,,
2729,Storm Robotics Team,3,4.37,-0.05,-0.05,-0.06,-0.04,0.00,-2.14,-0.04,-1.00,-1.00,-0.71,2.18,-2.41,-1.00,-0.65,0.33,0.33,0.26,-0.03,37.38,1.57,-1.00,-1.00,79.65,0.41,0.18,0.27,42.92,0.65,-1.00,-1.00,0.00,-0.03,0.05,-0.06,-0.10,-0.10,-2.21,-2.93,35.24,0.90,1.54,-1.00,-1.00,-0.71,78.90,75.79,0.28,11.47,1409,,,,,
