CHSChampionship,chcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2377,C Company,3,4.01,2.93,0.00,0.67,0.46,0.00,27.75,0.46,-1.00,-1.00,9.25,32.43,0.15,0.00,0.07,0.34,0.37,0.22,0.00,18.88,1.18,-1.00,-1.00,41.12,0.17,0.14,0.13,22.16,0.53,-1.00,-1.00,0.00,0.00,0.25,-0.00,-0.21,-0.19,-4.07,-4.88,46.63,0.93,1.65,-1.00,-1.00,0.74,68.66,68.66,0.13,-4.84,1476,,,,,
2421,RTR Team Robotics,3,3.63,0.04,0.08,0.09,0.24,0.00,14.48,0.24,-1.00,-1.00,4.83,18.20,-0.08,0.07,-0.02,0.34,0.26,0.10,0.00,18.49,0.78,-1.00,-1.00,48.84,0.14,0.42,0.05,30.37,0.75,-1.00,-1.00,0.00,0.00,-0.04,0.24,0.27,-0.07,6.55,-0.45,32.98,0.70,1.02,-1.00,-1.00,0.06,66.59,66.59,0.13,7.45,1458,,,,,
2534,Lumberjack Robotics,3,4.71,-0.31,0.08,0.00,0.33,0.00,19.51,0.33,-1.00,-1.00,6.50,24.22,-0.17,0.41,0.06,0.34,0.38,0.37,0.00,30.37,1.88,-1.00,-1.00,67.56,0.37,0.27,0.10,37.13,0.84,-1.00,-1.00,0.00,0.00,0.08,0.20,-0.04,0.38,-0.54,10.47,49.88,1.08,2.21,-1.00,-1.00,0.06,102.26,102.26,0.17,48.54,1508,,,,,
2537,Space RAIDers,3,4.36,-0.05,0.00,-0.01,0.29,0.00,17.56,0.29,-1.00,-1.00,5.85,21.91,-0.67,-0.04,-0.05,0.34,0.33,0.49,0.00,34.69,2.40,-1.00,-1.00,74.33,0.16,0.20,0.44,39.68,0.69,-1.00,-1.00,0.00,0.00,-0.00,0.37,0.13,-0.02,3.30,1.30,52.25,1.16,2.69,-1.00,-1.00,-0.06,97.54,97.54,0.21,49.72,1561,,,,,
2849,Ursa Major,3,4.29,-0.01,-0.09,-0.09,0.12,0.00,6.94,0.12,-1.00,-1.00,2.31,11.13,-0.10,-0.01,-0.04,0.33,0.37,0.16,-0.02,29.21,1.14,-1.00,-1.00,34.92,0.04,0.05,0.03,5.75,0.53,-1.00,-1.00,0.00,-0.02,0.16,0.07,0.26,0.05,7.18,1.47,36.15,0.85,1.26,-1.00,-1.00,-0.14,47.53,45.25,0.11,-41.74,1394,,,,,
2964,Robopanthers,3,5.83,-0.06,-0.01,-0.03,0.36,0.00,21.65,0.36,-1.00,-1.00,7.22,27.45,0.25,0.01,-0.02,0.33,0.17,0.04,0.00,7.00,0.21,-1.00,-1.00,50.51,0.13,0.48,0.26,43.53,0.71,-1.00,-1.00,0.00,0.00,-0.01,0.09,-0.04,-0.05,-1.06,-0.87,28.66,0.54,0.57,-1.00,-1.00,-0.05,77.09,77.09,0.45,20.83,1442,,,,,
3258,MADawgs,3,4.95,-0.03,-0.01,-0.02,0.08,0.00,5.06,0.08,-1.00,-1.00,1.69,10.00,0.32,-0.03,0.01,0.33,0.36,0.13,0.00,29.59,1.13,-1.00,-1.00,56.15,0.18,0.17,0.17,26.55,0.65,-1.00,-1.00,0.00,0.00,0.35,-0.26,0.38,-0.18,11.19,-5.87,34.65,0.82,1.21,-1.00,-1.00,-0.01,60.28,60.28,0.26,-20.49,1421,,,,,
3359,Royal Robotics,3,5.28,0.77,0.09,0.26,0.31,0.00,18.33,0.31,-1.00,-1.00,6.11,23.87,5.77,-0.11,0.55,0.33,0.31,-0.10,0.00,9.86,-0.10,-1.00,-1.00,58.79,0.39,0.23,0.34,48.38,0.71,-1.00,-1.00,0.00,0.00,-0.01,-0.11,-0.15,-0.15,-3.90,-4.34,28.19,0.55,0.21,-1.00,-1.00,0.81,78.33,78.33,0.46,45.04,1532,,,,,
3373,Team RoboHawk,3,4.59,0.00,-0.09,-0.09,0.12,0.00,7.40,0.12,-1.00,-1.00,2.47,11.90,-0.04,0.07,-0.02,0.33,0.40,0.28,-0.00,35.54,1.80,-1.00,-1.00,68.14,0.42,0.15,0.08,32.61,0.71,-1.00,-1.00,0.00,-0.00,-0.05,0.07,-0.18,-0.35,-4.81,-8.34,42.94,1.01,1.92,-1.00,-1.00,-0.11,71.69,71.62,0.30,33.25,1464,,,,,
3793,CyberTitans,3,4.94,-0.03,-0.03,-0.03,0.31,0.00,18.69,0.31,-1.00,-1.00,6.23,23.60,0.67,0.47,0.19,0.33,0.39,0.50,-0.00,36.38,2.47,-1.00,-1.00,58.28,0.27,0.05,0.11,21.70,0.57,-1.00,-1.00,0.00,-0.00,0.06,-0.08,0.22,0.44,5.85,10.51,55.07,1.22,2.78,-1.00,-1.00,0.16,92.38,92.26,0.28,47.44,1565,,,,,
