ChampionshipHouston,cmptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
971,Spartan Robotics,3,3.65,-0.89,26.29,26.02,-0.23,0.00,-13.77,-0.23,-1.00,-1.00,-4.59,15.90,3.40,46.19,15.58,0.36,0.39,0.30,-0.09,47.60,1.70,-1.00,-1.00,115.11,0.14,0.35,0.55,51.92,0.92,-1.00,-1.00,0.89,-0.09,-0.15,-0.11,0.34,0.76,7.83,18.50,33.83,0.96,1.47,-1.00,-1.00,41.60,149.51,158.51,0.49,76.99,1690,,,,,
973,Greybots,3,4.46,-0.22,5.55,5.49,0.40,0.00,23.82,0.40,-1.00,-1.00,7.94,33.77,0.10,84.21,27.75,0.33,0.26,0.00,0.00,7.97,0.13,-1.00,-1.00,78.49,0.26,0.51,0.08,42.77,0.67,-1.00,-1.00,0.44,0.00,-0.23,-0.08,-0.08,-0.11,-3.08,-3.25,31.79,0.60,0.52,-1.00,-1.00,33.24,109.01,117.88,0.40,52.32,1659,,,,,
987,HIGHROLLERS,3,5.37,0.00,7.20,7.20,0.48,0.00,28.95,0.48,-1.00,-1.00,9.65,41.52,0.26,39.17,12.67,0.33,0.42,0.26,0.00,21.01,1.37,-1.00,-1.00,95.11,0.38,0.61,0.24,61.43,0.88,-1.00,-1.00,0.19,0.00,-0.06,0.17,-0.11,-0.10,-2.99,-1.54,49.96,1.01,1.85,-1.00,-1.00,19.87,135.09,138.95,0.37,60.76,1793,,,,,
1002,The CircuitRunners,3,2.19,0.40,-0.02,0.09,0.26,0.00,15.52,0.26,-1.00,-1.00,5.17,17.80,-0.13,-0.28,-0.09,0.33,0.36,0.40,0.00,33.30,2.14,-1.00,-1.00,53.99,0.20,0.10,0.11,20.78,0.36,-1.00,-1.00,0.00,0.00,0.12,0.38,-0.11,-0.01,-2.26,1.62,48.82,1.09,2.40,-1.00,-1.00,-0.01,73.41,73.67,0.41,21.08,1486,,,,,
1011,CRUSH,3,4.45,0.42,-1.55,-1.46,0.23,0.00,13.60,0.23,-1.00,-1.00,4.53,16.58,0.05,5.76,1.98,0.33,0.28,0.59,-0.00,39.16,2.77,-1.00,-1.00,80.29,0.21,0.36,0.22,39.15,0.41,-1.00,-1.00,0.03,-0.00,0.20,0.33,-0.11,0.00,-1.66,1.73,52.76,1.21,2.99,-1.00,-1.00,0.52,98.61,98.87,0.25,21.73,1588,,,,,
1266,The Devil Duckies,3,6.27,-0.26,-0.23,-0.31,0.18,0.00,10.58,0.18,-1.00,-1.00,3.53,16.54,-4.14,-1.20,-0.79,0.33,0.21,-0.02,0.00,13.90,0.30,-1.00,-1.00,22.18,-0.08,0.04,0.23,9.07,0.13,-1.00,-1.00,0.00,0.00,-0.10,0.67,0.62,0.27,14.97,10.02,24.48,0.52,0.47,-1.00,-1.00,-1.10,48.73,48.73,0.09,5.51,1438,,,,,
1287,Aluminum Assault,3,5.14,0.01,-0.11,-0.10,0.27,0.00,15.98,0.27,-1.00,-1.00,5.33,21.01,-0.40,0.97,0.27,0.33,0.36,0.22,-0.03,24.31,1.14,-1.00,-1.00,71.62,0.41,0.27,0.26,47.04,1.00,-1.00,-1.00,0.00,-0.03,0.13,0.33,0.03,0.16,1.44,5.57,40.29,0.87,1.41,-1.00,-1.00,0.17,98.21,95.38,0.61,24.38,1542,,,,,
1319,Flash,3,2.80,0.66,-0.69,-0.48,0.08,0.00,4.78,0.08,-1.00,-1.00,1.59,7.10,11.24,-0.31,1.17,0.33,0.32,0.25,0.05,35.05,1.88,-1.00,-1.00,89.07,0.40,0.40,0.26,52.85,0.88,-1.00,-1.00,-0.07,0.05,0.10,0.24,-0.18,0.34,-3.87,9.62,39.83,0.96,1.96,-1.00,-1.00,0.70,105.79,109.56,0.33,35.26,1520,,,,,
1323,MadTown Robotics,3,5.19,0.10,8.13,8.14,0.20,0.00,11.77,0.20,-1.00,-1.00,3.92,25.10,-0.39,23.14,7.65,0.33,0.36,0.19,0.00,27.57,1.29,-1.00,-1.00,72.28,0.32,0.13,0.29,37.07,0.93,-1.00,-1.00,0.08,0.00,0.30,0.11,-0.02,-0.29,0.88,-6.63,39.34,0.89,1.49,-1.00,-1.00,15.79,90.75,92.27,0.35,19.17,1564,,,,,
1339,AngelBotics,3,4.86,-0.07,0.19,0.18,0.41,0.00,24.69,0.41,-1.00,-1.00,8.23,29.73,0.06,-1.16,-0.41,0.33,0.36,0.39,0.00,27.09,1.90,-1.00,-1.00,76.73,0.13,0.58,0.29,50.05,0.88,-1.00,-1.00,-0.02,0.00,0.12,-0.06,0.29,0.05,7.75,0.87,51.78,1.09,2.31,-1.00,-1.00,-0.23,107.34,107.07,0.13,3.39,1488,,,,,
