team,home championship,,,
1880,St. Louis,,,
1884,St. Louis,,,
1885,St. Louis,,,
1891,Houston,,,
1895,St. Louis,,,
1896,St. Louis,,,
1899,Houston,,,
1902,Houston,,,
1908,St. Louis,,,
1912,Houston,,,
1915,St. Louis,,,
1918,St. Louis,,,
1922,St. Louis,,,
1923,St. Louis,,,
1927,Houston,,,
1937,Houston,,,
1939,St. Louis,,,
1940,St. Louis,,,
1942,Houston,,,
1943,Houston,,,
1944,Houston,,,
1954,Houston,,,
1965,St. Louis,,,
1967,Houston,,,
1972,Houston,,,
1973,St. Louis,,,
1977,Houston,,,
1982,St. Louis,,,
1983,Houston,,,
1984,St. Louis,,,
1985,St. Louis,,,
1986,St. Louis,,,
1987,St. Louis,,,
1989,St. Louis,,,
1991,St. Louis,,,
1994,St. Louis,,,
1997,St. Louis,,,
2001,St. Louis,,,
2002,Houston,,,
2004,Houston,,,
2010,St. Louis,,,
2013,St. Louis,,,
2016,St. Louis,,,
2022,St. Louis,,,
2027,St. Louis,,,
2028,St. Louis,,,
2035,Houston,,,
2036,Houston,,,
2039,St. Louis,,,
2040,St. Louis,,,
2046,Houston,,,
2048,St. Louis,,,
2051,St. Louis,,,
2052,St. Louis,,,
2053,St. Louis,,,
2054,St. Louis,,,
2056,St. Louis,,,
2059,Houston,,,
2062,St. Louis,,,
2064,St. Louis,,,
2067,St. Louis,,,
2068,St. Louis,,,
2070,St. Louis,,,
2073,Houston,,,
2075,St. Louis,,,
2077,St. Louis,,,
2078,Houston,,,
2079,St. Louis,,,
2080,Houston,,,
2081,St. Louis,,,
2083,Houston,,,
2084,St. Louis,,,
2085,Houston,,,
2090,Houston,,,
2095,St. Louis,,,
2096,Houston,,,
2102,Houston,,,
2106,St. Louis,,,
2122,Houston,,,
2129,St. Louis,,,
2130,Houston,,,
2135,Houston,,,
2136,St. Louis,,,
2137,St. Louis,,,
2141,Houston,,,
2143,St. Louis,,,
2144,Houston,,,
2145,St. Louis,,,
2147,Houston,,,
2148,Houston,,,
2149,Houston,,,
2151,St. Louis,,,
2152,Houston,,,
2158,Houston,,,
2161,St. Louis,,,
2164,St. Louis,,,
2165,Houston,,,
2167,St. Louis,,,
2168,St. Louis,,,
2169,St. Louis,,,
2170,St. Louis,,,
2171,St. Louis,,,
2172,St. Louis,,,
2175,St. Louis,,,
2177,St. Louis,,,
2180,St. Louis,,,
2181,St. Louis,,,
2183,Houston,,,
2186,St. Louis,,,
2187,Houston,,,
2190,Houston,,,
2191,St. Louis,,,
2194,St. Louis,,,
2197,St. Louis,,,
2198,St. Louis,,,
2199,St. Louis,,,
2200,St. Louis,,,
2202,St. Louis,,,
2204,Houston,,,
2207,St. Louis,,,
2212,Houston,,,
2220,St. Louis,,,
2221,Houston,,,
2224,St. Louis,,,
2225,St. Louis,,,
2227,St. Louis,,,
2228,St. Louis,,,
2230,Houston,,,
2231,Houston,,,
2232,St. Louis,,,
2234,St. Louis,,,
2239,St. Louis,,,
2240,Houston,,,
2246,St. Louis,,,
2252,St. Louis,,,
2259,Houston,,,
2261,Houston,,,
2262,St. Louis,,,
2264,St. Louis,,,
2265,St. Louis,,,
2283,Houston,,,
2333,Houston,,,
2335,St. Louis,,,
2337,St. Louis,,,
2338,St. Louis,,,
2340,St. Louis,,,
2341,Houston,,,
2342,St. Louis,,,
2344,St. Louis,,,
