ChampionshipStLouis,cmpmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
935,RaileRobotics,3,5.53,0.00,-0.02,-0.02,0.41,0.00,24.55,0.41,-1.00,-1.00,8.18,30.06,0.39,-2.17,-0.63,0.33,0.33,0.17,-0.06,14.45,0.56,-1.00,-1.00,71.08,0.47,0.29,0.38,57.25,0.88,-1.00,-1.00,-0.01,-0.06,0.04,0.03,0.32,-0.03,8.25,-0.55,39.00,0.77,0.97,-1.00,-1.00,-0.65,100.59,94.29,0.21,6.56,1520,,,,,
1086,Blue Cheese,3,5.52,0.38,-0.06,0.06,0.04,0.00,2.50,0.04,-1.00,-1.00,0.83,8.08,2.28,-1.12,-0.21,0.33,0.38,0.22,-0.01,35.31,1.53,-1.00,-1.00,67.56,0.54,0.17,-0.06,32.45,0.79,-1.00,-1.00,0.00,-0.01,-0.11,-0.13,-0.01,-0.09,-0.72,-2.91,37.81,0.92,1.57,-1.00,-1.00,-0.15,72.73,71.99,0.16,-7.27,1453,,,,,
1114,Simbotics,3,4.12,-0.07,15.01,14.99,0.11,0.00,6.70,0.11,-1.00,-1.00,2.23,25.81,-1.05,37.37,12.12,0.34,0.42,0.16,0.09,35.88,1.91,-1.00,-1.00,85.46,0.40,0.17,0.18,37.46,0.89,-1.00,-1.00,0.38,0.09,-0.16,0.11,0.47,0.12,11.06,3.51,42.58,1.01,2.02,-1.00,-1.00,27.11,114.77,131.62,0.42,50.77,1686,,,,,
1155,SciBorgs,3,5.29,0.06,-0.37,-0.38,0.41,0.00,24.47,0.41,-1.00,-1.00,8.16,29.38,0.13,-0.15,-0.02,0.34,0.39,0.47,-0.02,31.18,2.13,-1.00,-1.00,86.03,0.41,0.20,0.49,54.87,0.94,-1.00,-1.00,0.00,-0.02,0.04,0.44,0.14,-0.08,3.70,0.25,55.65,1.19,2.54,-1.00,-1.00,-0.40,115.66,113.75,0.56,68.35,1529,,,,,
1288,RAVEN Robotics,3,5.03,-0.30,0.41,0.33,0.26,0.00,15.89,0.26,-1.00,-1.00,5.30,21.24,0.52,1.28,0.49,0.33,0.33,0.40,-0.02,31.49,1.91,-1.00,-1.00,91.48,0.45,0.19,0.55,59.50,0.91,-1.00,-1.00,-0.00,-0.02,-0.05,0.21,0.51,-0.13,12.41,-2.12,47.37,1.05,2.17,-1.00,-1.00,0.82,110.60,108.90,0.24,14.31,1472,,,,,
1511,Rolling Thunder,3,3.71,-0.22,-1.12,-1.22,0.52,0.00,31.06,0.52,-1.00,-1.00,10.35,33.56,3.51,0.72,0.50,0.33,0.33,0.24,0.00,15.86,1.15,-1.00,-1.00,59.21,0.24,0.51,0.11,42.85,0.94,-1.00,-1.00,0.01,0.00,0.02,0.12,-0.14,1.74,-3.42,44.07,46.93,0.91,1.67,-1.00,-1.00,-0.72,136.84,137.50,0.35,46.16,1611,,,,,
1675,UPS (Ultimate Protection Squad),3,5.49,0.03,-0.52,-0.47,0.39,0.00,23.37,0.39,-1.00,-1.00,7.79,28.39,0.26,2.63,0.93,0.33,0.33,0.56,-0.00,33.23,2.49,-1.00,-1.00,70.47,0.14,0.29,0.29,36.31,0.50,-1.00,-1.00,0.00,-0.00,-0.05,0.03,-0.25,0.08,-6.52,2.11,56.60,1.22,2.88,-1.00,-1.00,0.46,100.97,100.60,0.28,23.35,1508,,,,,
1676,The Pascack PI-oneers,3,5.13,0.31,-0.20,-0.14,0.46,0.00,27.50,0.46,-1.00,-1.00,9.17,32.50,-0.05,0.13,0.07,0.33,0.33,0.30,0.22,28.99,2.71,-1.00,-1.00,56.77,0.20,0.28,0.08,27.72,0.82,-1.00,-1.00,-0.00,0.22,0.19,0.05,-0.10,-0.06,-1.66,-1.17,56.49,1.18,3.16,-1.00,-1.00,-0.07,88.09,109.72,0.15,12.39,1533,,,,,
1706,Ratchet Rockers,3,5.58,0.09,19.46,19.48,-0.01,0.00,-0.44,-0.01,-1.00,-1.00,-0.15,24.63,-0.95,42.55,13.77,0.33,0.08,-0.01,0.02,17.45,0.26,-1.00,-1.00,67.04,0.04,0.46,0.22,35.81,0.67,-1.00,-1.00,0.51,0.02,-0.03,-0.14,-0.05,-0.09,-1.38,-2.98,17.02,0.43,0.25,-1.00,-1.00,33.26,88.68,100.83,0.48,53.25,1585,,,,,
1710,The Ravonics Revolution,3,3.68,0.00,0.66,0.66,0.05,0.00,2.92,0.05,-1.00,-1.00,0.97,7.26,-0.09,3.80,1.08,0.33,0.35,0.65,0.00,51.91,3.30,-1.00,-1.00,89.81,0.34,0.42,-0.02,36.82,0.94,-1.00,-1.00,0.03,0.00,0.05,-0.19,-0.24,0.20,-5.88,3.94,54.83,1.35,3.35,-1.00,-1.00,1.74,101.02,101.96,0.31,68.13,1511,,,,,
