ONMcMasterUniversity,onham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
6009,cyberheart,3,4.20,-0.54,-1.09,-1.23,0.05,0.00,2.79,0.05,-1.00,-1.00,0.93,5.76,-0.13,0.72,0.20,0.33,0.36,0.35,0.00,39.97,2.08,-1.00,-1.00,78.99,0.16,0.16,0.46,38.82,0.71,-1.00,-1.00,-0.01,0.00,-0.27,-0.09,0.25,0.14,4.82,3.08,42.76,1.05,2.13,-1.00,-1.00,-1.03,87.82,87.52,0.31,41.97,1527,,,,,
6046,Tecking,3,3.68,0.17,-0.22,-0.17,0.09,0.00,5.19,0.09,-1.00,-1.00,1.73,8.70,-1.18,-0.82,-0.39,0.35,0.37,-0.21,0.00,16.55,-0.19,-1.00,-1.00,6.80,-0.21,-0.07,0.09,-9.36,0.17,-1.00,-1.00,-0.01,0.00,-0.22,0.21,0.34,0.48,7.40,13.10,21.74,0.50,-0.11,-1.00,-1.00,-0.56,28.60,28.35,0.04,-19.47,1338,,,,,
6070,Pratt & Whitney Canada : Gryphon Machine,3,4.89,0.00,0.07,0.07,0.17,0.00,10.26,0.17,-1.00,-1.00,3.42,15.22,-0.05,-0.93,-0.30,0.33,0.33,0.16,-0.04,24.51,0.89,-1.00,-1.00,41.66,0.19,-0.05,0.21,17.45,0.31,-1.00,-1.00,0.00,-0.04,0.32,0.10,0.01,0.08,1.91,2.60,34.77,0.78,1.06,-1.00,-1.00,-0.24,59.47,55.38,0.05,-32.30,1323,,,,,
6135,Arctos,3,3.42,-0.15,0.07,0.03,-0.33,0.00,-19.94,-0.33,-1.00,-1.00,-6.65,-16.49,-0.46,-4.43,-1.45,0.35,0.40,-0.13,-0.01,37.70,0.56,-1.00,-1.00,71.07,0.23,0.11,0.36,34.82,0.43,-1.00,-1.00,0.02,-0.01,0.43,-0.08,-0.05,0.01,1.00,-0.15,17.76,0.61,0.23,-1.00,-1.00,-1.42,54.42,53.72,-0.01,-38.62,1339,,,,,
6323,Hayden Robotics,3,2.01,-0.04,0.03,-0.01,0.15,0.00,9.11,0.15,-1.00,-1.00,3.04,11.11,1.54,-1.07,-0.28,0.34,0.38,0.21,0.00,31.11,1.45,-1.00,-1.00,24.82,-0.24,0.05,0.06,-6.00,0.53,-1.00,-1.00,0.00,0.00,0.16,0.32,0.05,0.24,2.08,7.60,40.22,0.93,1.60,-1.00,-1.00,-0.29,43.53,43.53,0.09,-23.04,1361,,,,,
6330,6330 - Arc Angels,3,0.79,0.05,1.80,1.82,0.14,0.00,8.61,0.14,-1.00,-1.00,2.87,11.22,-0.45,1.24,0.30,0.34,0.21,0.09,-0.02,18.86,0.49,-1.00,-1.00,25.63,0.03,0.06,0.04,6.47,0.17,-1.00,-1.00,0.08,-0.02,0.25,0.14,-0.31,-0.05,-6.51,-0.61,27.47,0.61,0.64,-1.00,-1.00,2.12,36.24,35.41,-0.05,-50.73,1300,,,,,
6339,Pelican Falls First Nation High School,3,6.52,0.04,0.21,0.21,-0.07,0.00,-4.41,-0.07,-1.00,-1.00,-1.47,2.32,0.02,1.57,0.55,0.33,0.32,0.02,0.00,29.47,0.78,-1.00,-1.00,26.28,0.06,-0.07,-0.06,-3.73,0.25,-1.00,-1.00,0.00,0.00,0.56,0.87,0.50,-0.09,15.34,2.21,25.05,0.66,0.71,-1.00,-1.00,0.76,30.81,30.81,0.21,-33.19,1293,,,,,
6342,BT Robotics,3,3.91,-0.09,-0.95,-0.98,0.34,0.00,20.47,0.34,-1.00,-1.00,6.82,23.40,0.73,1.88,0.67,0.33,0.41,0.16,-0.02,21.62,0.99,-1.00,-1.00,32.50,0.18,-0.27,0.29,10.20,0.38,-1.00,-1.00,-0.05,-0.02,-0.09,-0.18,0.13,0.15,2.73,2.79,42.10,0.88,1.33,-1.00,-1.00,-0.31,58.69,55.59,-0.01,-3.49,1385,,,,,
6387,Discobots Canada (Brampton Robotics Education),3,3.97,0.00,-0.23,-0.23,0.11,0.00,6.62,0.11,-1.00,-1.00,2.21,10.36,0.62,0.20,0.16,0.33,0.37,0.03,0.00,24.84,0.75,-1.00,-1.00,53.65,0.29,0.27,0.01,28.65,0.88,-1.00,-1.00,0.00,0.00,-0.05,0.37,-0.05,1.33,-1.38,35.13,31.45,0.73,0.86,-1.00,-1.00,-0.07,99.14,99.14,0.27,53.41,1423,,,,,
6481,Deus ex Machina,3,5.17,-0.11,0.72,0.68,-0.29,0.00,-17.10,-0.29,-1.00,-1.00,-5.70,-11.26,0.27,1.87,0.59,0.33,0.41,0.05,-0.01,42.71,1.23,-1.00,-1.00,44.73,-0.05,-0.14,0.22,1.43,0.26,-1.00,-1.00,0.03,-0.01,0.13,0.21,0.32,0.33,8.67,9.27,25.61,0.78,0.95,-1.00,-1.00,1.27,42.75,42.26,0.08,-13.43,1404,,,,,
6537,WIHS Robotics,3,2.42,-0.04,-1.29,-1.31,0.08,0.00,4.98,0.08,-1.00,-1.00,1.66,6.09,1.77,-2.02,-0.50,0.33,0.27,0.17,-0.05,25.39,0.82,-1.00,-1.00,11.94,0.06,-0.19,-0.13,-12.95,0.08,-1.00,-1.00,-0.01,-0.05,0.42,0.02,-0.02,0.11,1.49,2.98,30.36,0.72,0.90,-1.00,-1.00,-1.81,21.01,15.59,-0.07,-59.44,1296,,,,,
6725,Westminster SS,3,4.35,0.00,-0.19,-0.19,0.05,0.00,2.91,0.05,-1.00,-1.00,0.97,7.07,-0.08,0.00,0.06,0.33,0.34,0.11,-0.01,28.68,0.98,-1.00,-1.00,59.47,0.11,0.20,0.30,30.73,0.58,-1.00,-1.00,0.00,-0.01,0.55,0.18,-0.23,-0.16,-3.07,-3.23,31.59,0.77,1.03,-1.00,-1.00,-0.13,63.31,62.08,0.12,-25.84,1388,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
